trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.85, 'e': 9.481537470950003e-05}",25,8,23.74339777567357,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.85, 'e': 8.059306850307503e-05}",20,4,23.196342446678827,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.85, 'e': 6.850410822761378e-05}",30,0,35.391706014764516,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.85, 'e': 5.822849199347171e-05}",20,10,16.206264888284913,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.85, 'e': 4.9494218194450955e-05}",25,15,14.439979469799155,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.85, 'e': 4.207008546528331e-05}",20,0,34.14463387022245,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.85, 'e': 3.5759572645490814e-05}",20,14,9.324916094626229,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.85, 'e': 3.039563674866719e-05}",20,7,21.066296492650658,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.85, 'e': 2.583629123636711e-05}",20,10,14.493323484016155,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.85, 'e': 2.196084755091204e-05}",20,12,13.29598464486482,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.85, 'e': 1.8666720418275234e-05}",30,0,49.58781586315108,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.85, 'e': 1.586671235553395e-05}",25,13,21.632439361652754,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.85, 'e': 1.3486705502203857e-05}",20,14,9.355403743384917,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.85, 'e': 1.1463699676873278e-05}",25,12,20.86666484283083,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.85, 'e': 9.744144725342286e-06}",25,15,19.367766453847427,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.85, 'e': 8.282523016540943e-06}",20,16,7.290574018629424,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.85, 'e': 7.040144564059801e-06}",25,0,33.38083223025226,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.85, 'e': 5.984122879450831e-06}",25,8,29.054239931399522,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.85, 'e': 5.0865044475332065e-06}",20,8,2.5566147106172963,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.85, 'e': 4.323528780403226e-06}",20,0,30.651629757562812,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.85, 'e': 3.674999463342742e-06}",20,9,23.457663540723278,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.85, 'e': 3.1237495438413304e-06}",20,14,10.840648968162611,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.85, 'e': 2.655187112265131e-06}",30,22,18.347006394623378,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.85, 'e': 2.2569090454253613e-06}",25,6,27.067845805836004,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.85, 'e': 1.918372688611557e-06}",30,19,7.640263620640984,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.85, 'e': 1.6306167853198235e-06}",20,3,26.931118433563693,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.85, 'e': 1.38602426752185e-06}",20,16,6.001761983506185,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.85, 'e': 1.1781206273935726e-06}",20,9,18.980445861663828,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.85, 'e': 1.0014025332845366e-06}",20,0,33.08254153491268,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.85, 'e': 8.511921532918561e-07}",20,0,25.38695682804099,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.85, 'e': 7.235133302980777e-07}",20,5,17.953229754388655,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.85, 'e': 6.14986330753366e-07}",25,13,23.99041493434147,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.85, 'e': 5.227383811403611e-07}",25,16,18.088828867983842,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.85, 'e': 4.443276239693069e-07}",25,0,35.28232845942171,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.85, 'e': 3.7767848037391086e-07}",25,14,18.52313831207003,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.85, 'e': 3.210267083178242e-07}",30,10,35.59077798317322,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.85, 'e': 2.7287270207015057e-07}",25,11,26.111936004712174,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.85, 'e': 2.31941796759628e-07}",20,12,17.462104825729696,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.85, 'e': 1.9715052724568378e-07}",20,11,14.748273290199617,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.85, 'e': 1.6757794815883121e-07}",20,3,30.384467509102763,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.85, 'e': 1.4244125593500653e-07}",20,0,26.607919360073442,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.85, 'e': 1.2107506754475555e-07}",30,19,21.284504899600705,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.85, 'e': 1.0291380741304222e-07}",25,8,34.08460374782817,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.85, 'e': 8.747673630108589e-08}",20,11,15.083445147573757,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.85, 'e': 7.4355225855923e-08}",20,6,26.23214037100876,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.85, 'e': 6.320194197753454e-08}",20,13,13.34205473391911,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.85, 'e': 5.372165068090436e-08}",25,0,29.56167105205829,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.85, 'e': 4.566340307876871e-08}",20,16,6.383226883936334,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.85, 'e': 3.88138926169534e-08}",25,15,20.947640216471573,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.85, 'e': 3.299180872441039e-08}",20,12,14.296866060377926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.85, 'e': 2.804303741574883e-08}",25,9,26.22849459653054,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.85, 'e': 2.3836581803386507e-08}",30,7,33.30797111641181,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.85, 'e': 2.026109453287853e-08}",25,10,22.18626519274403,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.85, 'e': 1.7221930352946752e-08}",30,14,26.626928795159184,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.85, 'e': 1.4638640800004739e-08}",20,0,14.127680637065906,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
112,False,"{'a': 0.85, 'e': 1.2442844680004028e-08}",20,15,9.360500774906475,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.85, 'e': 1.0576417978003424e-08}",25,15,17.403001831247334,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.85, 'e': 8.98995528130291e-09}",30,13,29.34358385923105,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,6,24.067058851941514,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,5,24.505414131409733,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,24,9.35856822476389,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,13,6.842683716793142,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,5,28.35620381746255,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,0,50.50491742003225,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,15,18.619807819971605,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,26.36797003870039,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,9,26.01245932160921,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,5,24.664777089504867,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
